timestamp(ms),Roll,Pitch,Yaw,Ax,Ay,Az,Gx,Gy,Gz,
"1739672297.044","5.55","-79.02",,,,,,,,
"1739672297.045",,,"244.37","0.013268","0.002605","0.003396","0.002102","0.001861","-0.001802",
"1739672297.066","6.75","-79.03","243.19","0.012048","0.003703","0.001809","-0.028433","0.001861","-0.047603",
"1739672297.088","5.81","-78.94","244.12","0.011071","-0.000203","0.002419","0.002102","0.047662","-0.047603",
"1739672297.109","4.62","-78.97","245.28","0.012658","-0.001912","0.002419","0.002102","0.032395","-0.017069",
"1739672297.131","4.01","-78.83","245.88","0.013146","-0.000325","0.003274","0.017369","0.047662","-0.001802",
"1739672297.152","5.18","-78.82","244.73","0.011803","0.003093",,,,,
"1739672297.153",,,,,,"0.002297","0.017369","0.001861","0.028732",
"1739672297.174","4.44","-78.95","245.46","0.008141","-0.000203","0.001321","0.002102","0.032395","0.013465",
"1739672297.195","3.25","-78.97",,,,,,,,
"1739672297.196",,,"246.62","0.010217","-0.002278","0.001931","0.017369","0.001861","-0.062871",
"1739672297.217","2.44","-79.11","247.42","0.013268","-0.002766","0.000222","-0.013165","0.001861","-0.017069",
"1739672297.239","3.48","-79.2","246.4","0.010949","0.002239","0.000955","-0.013165","-0.013407","0.028732",
"1739672297.26","4.64","-79.16","245.26","0.010827","0.004436","0.002541","-0.013165","0.001861","-0.032336",
"1739672297.282","5.82","-79.11","244.11","0.014123","0.00175","0.002908","0.047903","0.017128","-0.017069",
"1739672297.303","5.01","-79","244.9","0.010217","-0.001179","0.003152","0.017369",,,
"1739672297.304",,,,,,,,"0.001861","-0.032336",
"1739672297.325","6.06","-79.07","243.87","0.006921","0.000407","0.001199","0.017369","-0.028674","-0.032336",
"1739672297.347","6.56","-79.22","243.38","0.009606","0.000896","0.000344","-0.013165","-0.028674","-0.001802",
"1739672297.368","7.79","-79.22","242.17","0.011193","0.002239","0.001931","0.002102","0.017128","-0.017069",
"1739672297.39","8.61","-79.33","241.36","0.013146","0.000652","0.002175","0.002102","0.001861","0.028732",
"1739672297.411","8.68","-79.49","241.29","0.013146","0.000285","0.001321","-0.013165","-0.059208",,
"1739672297.412",,,,,,,,,"-0.017069",
"1739672297.433","9.83","-79.55","240.17","0.012414","0.001384","0.001809","0.032636","0.017128","0.013465",
"1739672297.454","10.53","-79.41","239.48","0.011071",,,,,,
"1739672297.455",,,,,"0.001628","0.00303","0.047903","0.001861","0.013465",
"1739672297.476","11.61","-79.31","238.42","0.013146","0.000896","0.002541","0.017369","0.017128","-0.032336",
"1739672297.497","10.4",,,,,,,,,
"1739672297.498",,"-79.31","239.61","0.012048","-0.000691","0.002419","0.032636","-0.013407","-0.017069",
"1739672297.519","10.33","-79.15","239.67","0.012536","0.00053","0.003274","0.032636","0.001861","-0.001802",
"1739672297.541","10.27","-79.32","239.73","0.010461","0.000285","0.001687","0.002102","-0.028674","-0.032336",
"1739672297.562","9.14","-79.28","240.84","0.010339","-0.00179","0.002663","0.047903","-0.013407","0.013465",
"1739672297.584","9.32","-79.12","240.66","0.011071","0.000652","0.002908","0.047903","0.017128","-0.017069",
"1739672297.605","8.29","-79.23","241.68","0.00985","-0.000203",,,,,
"1739672297.606",,,,,,"0.001687","0.017369","-0.059208","-0.017069",
"1739672297.627","8.43","-79.06","241.55","0.010217","0.000652","0.003152","0.017369","-0.013407","-0.017069",
"1739672297.648","8.36",,,,,,,,,
"1739672297.649",,"-79.23","241.62","0.011193","0.000041","0.000955","0.002102","0.017128","-0.047603",
"1739672297.67","8.01","-79.08","241.95","0.011437","-0.000081","0.00364","-0.013165","0.017128","-0.001802",
"1739672297.692","8.55","-79.22","241.43","0.010705","0.000407","0.001809","-0.013165","-0.043941","0.013465",
"1739672297.713","8.41","-79.07","241.56","0.011315","0.000285","0.004372","0.002102","-0.059208","-0.017069",
"1739672297.735","7.39","-79","242.57","0.012414","-0.000203","0.002663","0.002102","-0.013407","-0.001802",
"1739672297.756","7.47","-78.84","242.49","0.012658","0.00053",,,,,
"1739672297.757",,,,,,"0.003396","0.002102","0.032395","-0.032336",
"1739672297.778","7.48","-79","242.47","0.00924","0.000163","0.001199","0.002102","0.032395","-0.047603",
"1739672297.8","7.17","-79.17","242.78","0.012048","-0.000203","0.001321","0.002102","-0.013407","-0.017069",
"1739672297.821","8.05","-79.28","241.92","0.013879","0.002483","0.00071","0.017369","-0.028674","0.059267",
"1739672297.843","9.26","-79.25","240.73","0.011193","0.003703","0.002053","0.017369","0.001861","0.013465",
"1739672297.864","8.46","-79.15","241.52","0.010094","-0.001302","0.003396","0.032636","-0.013407",,
"1739672297.865",,,,,,,,,"-0.078138",
"1739672297.886","7.26","-79.19","242.69","0.014123","-0.002766","0.002541","-0.028433","-0.013407","-0.062871",
"1739672297.907","6.84","-79.35","243.11","0.011559",,,,,,
"1739672297.908",,,,,"-0.001179","-0.000144","0.017369","0.062929","-0.001802",
"1739672297.929","7.97","-79.42","242","0.008752","0.002361","0.000588","0.002102","0.017128","-0.017069",
"1739672297.951","8.52","-79.57","241.45","0.014001","0.001872","-0.000632","0.002102","0.017128","-0.017069",
"1739672297.972","8.48","-79.41","241.49","0.011803","0.000407","0.002908","-0.013165","0.047662","0.028732",
"1739672297.994","8.17","-79.25","241.79","0.007897","0.000041","0.002297","-0.013165","0.017128","0.013465",
"1739672298.015","7.16","-79.19","242.79","0.011071","-0.002278","0.003396",,,,
"1739672298.016",,,,,,,"0.002102","-0.013407","-0.017069",
"1739672298.037","6.49","-79.34","243.45","0.010461","-0.001424","0.000344","0.017369","0.001861","-0.001802",
"1739672298.058","7.72","-79.35","242.23",,,,,,,
"1739672298.059",,,,"0.007165","0.002361","0.000955","0.017369","-0.013407","-0.001802",
"1739672298.08","8.96","-79.37","241.02","0.00863","0.001628","0.001321","0.002102","-0.059208","-0.062871",
"1739672298.102","9.06","-79.2","240.92","0.011193","0.000652","0.003274","0.002102","0.001861","-0.032336",
"1739672298.123","9.49","-79.04","240.5","0.010339","0.000652","0.002419","0.017369","0.032395","-0.062871",
"1739672298.145","10.41","-79.14","239.59","0.012048","0.002239","0.00071","0.032636","0.017128","-0.047603",
"1739672298.166","11.6","-79.11","238.42","0.011681","0.005046","0.002053","0.017369","0.032395",,
"1739672298.167",,,,,,,,,"0.028732",
"1739672298.188","11.71","-78.96","238.32","0.004113","0.001018","0.003274","-0.013165","-0.028674","-0.017069",
"1739672298.209","10.71","-78.91","239.3",,,,,,,
"1739672298.21",,,,"0.009118","-0.002156","0.00303","-0.013165","-0.013407","-0.062871",
"1739672298.231","9.55","-78.93","240.44","0.01278","-0.003377","0.002663","0.017369","0.001861","0.013465",
"1739672298.253","10.48","-79.03","239.53","0.009606","0.00175","0.00071","0.002102","0.001861","0.028732",
"1739672298.274","11.54","-78.95","238.49","0.011681","0.005046","0.003152","0.017369","0.047662","-0.047603",
"1739672298.296","12.29","-78.81","237.75","0.012658","0.002849","0.003884","0.002102","0.001861","-0.017069",
"1739672298.317","11.8","-78.68","238.23","0.007653","-0.000935","0.004372","-0.0437","0.017128","0.044",
"1739672298.339","10.68","-78.75","239.33","0.008874","-0.002766","0.001443","-0.028433","0.001861","0.013465",
"1739672298.36","10.11","-78.62",,,,,,,,
"1739672298.361",,,"239.89","0.011559","-0.000081","0.003152","0.017369","0.001861","-0.001802",
"1739672298.382","11.27","-78.6","238.75","0.014977","0.001994","0.002786","-0.013165","0.017128","-0.047603",
"1739672298.404","12.38","-78.63","237.66","0.012292","0.002239","0.001809","-0.013165","0.001861","-0.017069",
"1739672298.425","12.07","-78.48","237.97","0.011315","0.000041","0.004617","-0.013165","0.032395","-0.032336",
"1739672298.447","11.04","-78.45","238.97","0.012414","-0.0024","0.00364","0.017369","-0.013407","-0.017069",
"1739672298.468","9.94","-78.51","240.05","0.01217",,,,,,
